"Date","Chrome (all)","Firefox 5+","IE 11.0","Safari iPad","IE 8.0","IE 9.0","IE 10.0","Safari 7.0","Android 0","Opera 15+","Safari 8.0","Safari 5.1","Safari 6.1","360 Safe Browser 0","Safari 7.1","Opera 12.1","Safari 6.0","Safari 5.0","IE 6.0","Sogou Explorer 0","IE 7.0","Firefox 3.6","Maxthon 4.4","Chromium (all)","Safari 6.2","Safari 4.0","Firefox 3.0","Opera 0","Sony PS3 0","Yandex Browser 14.2","Yandex Browser 14.12","Yandex Browser 14.5","Yandex Browser 14.8","Yandex Browser 14.10","Maxthon 1.0","QQ Browser 7.7","Firefox 4.0","Yandex Browser 14.7","Sony PS4 0","Safari 4.1","Mozilla 0","Maxthon 4.3","Opera 12.0","QQ Browser 8.0","Silk 3.21","TheWorld","Silk 1.0","Silk 3.41","Opera 10.0","Firefox 3.5","Tencent Traveler 4.0","BlackBerry 0","Yandex Browser 15.2","Silk 3.17","NetFront NX 3.0","QQ Browser 6.12","Maxthon 3.0","Yandex Browser 14.4","Phantom 0","Silk 3.30","Opera 11.6","Coc Coc 36.0","Firefox 2.0","Silk 3.46","Silk 3.23","Kindle 0","Puffin 3.7","Coc Coc 45.0","Silk 3.35","Silk 3.16","Maxthon 4.1","Opera 11.5","Coc Coc 46.0","Other"
2014-04,45.22,18.19,8.33,5.09,5.64,3.31,3.6,1.94,1.17,0.73,0,0.98,0.83,0.68,0,0.45,0.51,0.29,0.34,0.15,0.19,0.23,0.01,0.11,0,0.09,0.09,0.06,0.08,0.33,0,0,0,0,0.05,0,0.05,0,0.01,0.04,0.02,0.08,0.04,0,0,0.03,0.03,0,0.01,0.03,0.03,0.03,0,0,0.01,0.02,0.03,0.01,0.02,0,0.02,0,0.01,0,0,0.02,0,0,0,0.1,0.02,0.01,0,0.62
2014-05,45.6,18.31,8.47,5.39,5.29,3.23,3.3,2.03,1.24,0.74,0,0.92,0.79,0.68,0,0.43,0.47,0.27,0.3,0.14,0.17,0.22,0.03,0.12,0,0.09,0.09,0.06,0.07,0.21,0,0,0,0,0.05,0.01,0.05,0,0.01,0.04,0.02,0.06,0.03,0,0,0.03,0.03,0,0.01,0.03,0.03,0.02,0,0.14,0.02,0.02,0.02,0.06,0.02,0,0.02,0,0.01,0,0,0.02,0.03,0,0,0.04,0.02,0.01,0,0.49
2014-06,45.46,17.57,8.69,5.8,5.4,3.17,3.2,2.08,1.34,0.78,0.01,0.86,0.73,0.91,0,0.41,0.42,0.25,0.34,0.15,0.17,0.18,0.05,0.1,0,0.1,0.1,0.06,0.07,0.02,0,0.16,0,0,0.07,0.04,0.05,0,0.02,0.04,0.03,0.05,0.03,0,0.02,0.04,0.03,0,0.01,0.03,0.04,0.02,0,0.07,0.02,0.03,0.02,0.1,0.02,0,0.02,0,0.01,0,0,0.02,0.03,0,0,0,0.02,0.01,0,0.54
2014-07,45.28,17.18,9.08,6.16,5.22,3.3,3.34,2.15,1.36,0.81,0.01,0.81,0.7,0.78,0.01,0.39,0.37,0.24,0.28,0.16,0.14,0.16,0.08,0.11,0,0.09,0.08,0.06,0.06,0,0,0.23,0,0,0.06,0.06,0.04,0,0.02,0.04,0.03,0.03,0.03,0,0.2,0.03,0.03,0,0.02,0.02,0.03,0.02,0,0,0.02,0.03,0.02,0.04,0.03,0,0.02,0,0.02,0,0,0.02,0.03,0,0,0,0.01,0.01,0,0.44
2014-08,46.26,17.19,9.1,6.38,4.68,3.12,3.05,2.27,1.37,0.89,0.04,0.77,0.67,0.5,0,0.37,0.34,0.23,0.22,0.19,0.14,0.16,0.11,0.11,0,0.07,0.06,0.06,0.06,0,0,0.16,0,0,0.04,0.08,0.04,0.14,0.03,0.03,0.03,0.03,0.03,0,0.09,0.02,0.03,0,0.03,0.02,0.02,0.02,0,0,0.02,0.02,0.02,0,0.02,0,0.02,0.04,0.01,0,0.12,0.02,0.03,0,0,0,0.01,0.02,0,0.41
2014-09,45.58,17.13,9.22,6.56,4.96,3.02,2.89,2.31,1.33,0.91,0.05,0.75,0.7,0.81,0.2,0.3,0.26,0.23,0.22,0.2,0.13,0.14,0.12,0.09,0.02,0.09,0.08,0.06,0.05,0,0,0.01,0.03,0,0.06,0.07,0.04,0.22,0.03,0.03,0.03,0.02,0.03,0.01,0,0.03,0.03,0,0.03,0.02,0.03,0.02,0,0,0.02,0.03,0.02,0,0.02,0.1,0.02,0.06,0.02,0,0.06,0.02,0.02,0,0,0,0.01,0.01,0,0.46
2014-10,47.63,16.75,9.52,6.35,4.1,2.76,2.62,1.33,1.36,0.93,0.42,0.68,0.54,0.66,1.03,0.24,0.2,0.21,0.19,0.19,0.1,0.13,0.13,0.08,0.12,0.08,0.07,0.06,0.05,0,0,0,0.21,0,0.05,0.06,0.03,0.06,0.03,0.03,0.03,0.02,0.02,0.01,0,0.03,0.02,0,0.03,0.02,0.03,0.02,0,0,0.02,0.02,0.02,0,0.01,0.1,0.01,0.03,0.02,0,0,0.02,0,0,0.01,0,0.01,0.01,0,0.52
2014-11,48.06,16.49,10.78,6.16,3.43,2.78,2.37,0.78,1.6,1.02,1.16,0.63,0.44,0.16,0.84,0.25,0.16,0.2,0.09,0.2,0.12,0.13,0.14,0.09,0.15,0.04,0.04,0.06,0.06,0,0,0,0.23,0.07,0.01,0.06,0.03,0.01,0.03,0.04,0.04,0.02,0.02,0.01,0,0.01,0.02,0,0.03,0.02,0.01,0.02,0,0,0.02,0.01,0.02,0,0.01,0,0.02,0.04,0.02,0,0,0.01,0,0,0.11,0,0.01,0.01,0,0.58
2014-12,46.13,16.11,11.31,6.05,5.49,2.89,2.23,0.62,1.58,1,1.38,0.56,0.38,0.17,0.78,0.27,0.13,0.17,0.1,0.19,0.26,0.13,0.15,0.09,0.16,0.03,0.04,0.06,0.05,0,0.03,0,0.04,0.22,0.01,0.05,0.03,0,0.04,0.03,0.04,0.01,0.02,0.03,0,0.01,0.02,0.06,0.02,0.02,0.01,0.02,0,0,0.02,0.01,0.01,0,0.02,0,0.01,0.02,0.01,0,0,0.01,0,0.04,0.02,0,0.01,0.01,0,0.61
2015-01,48.15,16.72,10.74,5.82,3.71,2.53,1.94,0.51,1.58,1.09,1.68,0.55,0.37,0.29,0.81,0.32,0.12,0.17,0.13,0.21,0.2,0.13,0.16,0.11,0.17,0.04,0.04,0.06,0.05,0,0.12,0,0.01,0.18,0.02,0.02,0.03,0,0.06,0.03,0.04,0.01,0.02,0.06,0,0.01,0.02,0.22,0.02,0.02,0.01,0.02,0,0,0.02,0.01,0.01,0,0.01,0,0.01,0.01,0.02,0,0,0.01,0,0.07,0,0,0.01,0.01,0,0.48
2015-02,48.71,16.28,10.53,5.75,3.77,2.39,1.9,0.49,1.61,1.12,1.79,0.5,0.35,0.46,0.79,0.31,0.1,0.16,0.13,0.22,0.16,0.12,0.17,0.12,0.18,0.06,0.06,0.06,0.05,0,0.27,0,0,0.04,0.03,0.01,0.03,0,0.06,0.03,0.03,0.01,0.02,0.09,0,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0,0,0.02,0.01,0.01,0,0.01,0,0.02,0.01,0.02,0.13,0,0.01,0,0.04,0,0,0.01,0.01,0.05,0.57
